wdid,facility_name,place_county,facility_region,month,enforcement_count,total_assessment_sum,liability_sum,project_sum
2 417037001,SVCW WWTP,San Mateo,2,2010-07-01,1,3000.0,3000.0,0.0
5A321016001,Sierra Pacific Industries Quincy Division Sawmill,Plumas,5R,2010-08-01,1,0.0,0.0,0.0
5C100107001,Tomatek Tomato Wastewater Facility,Fresno,5F,2009-10-01,1,0.0,0.0,0.0
5B392035001,Grape Processing Facility,San Joaquin,5S,2005-04-01,1,0.0,0.0,0.0
7A361405012,Sky Harbor Care Cntr,San Bernardino,7,2010-05-01,1,0.0,0.0,0.0
5A321016001,Sierra Pacific Industries Quincy Division Sawmill,Plumas,5R,2011-05-01,1,0.0,0.0,0.0
5A321016001,Sierra Pacific Industries Quincy Division Sawmill,Plumas,5R,2011-07-01,1,39000.0,39000.0,0.0
5D150109001,McFarland WWTF,Kern,5F,2012-08-01,1,0.0,0.0,0.0
5A321016001,Sierra Pacific Industries Quincy Division Sawmill,Plumas,5R,2012-03-01,1,0.0,0.0,0.0
5A321016001,Sierra Pacific Industries Quincy Division Sawmill,Plumas,5R,2013-09-01,1,21000.0,21000.0,0.0
5A321016001,Sierra Pacific Industries Quincy Division Sawmill,Plumas,5R,2014-09-01,1,9000.0,9000.0,0.0
7A131337001,CA Dept of Corrections Centinela WWTP,Imperial,7,2012-06-01,1,11000.0,11000.0,0.0
7A130100011,Brawley City WWTP,Imperial,7,2005-02-01,1,0.0,0.0,0.0
7A130100011,Brawley City WWTP,Imperial,7,2010-10-01,1,0.0,0.0,0.0
1A09009WNDN,Crescent City Harbor District - Riprap Erosion Repair at Various Locations,Del Norte,1,2014-01-01,1,0.0,0.0,0.0
1B16098CHUM,"Michael Egan - 180 Cookson Lane, Blue Lake",Humboldt,1,2018-05-01,1,0.0,0.0,0.0
5C16WR00001,Lakeside WD Reclamation Project,Kings,5F,2003-04-01,1,0.0,0.0,0.0
5C54NC00210,AC Enterprises Dairy,Tulare,5F,2010-08-01,2,0.0,0.0,0.0
4B196000422,11925 Wilshire Blvd,Los Angeles,4,2001-03-01,1,0.0,0.0,0.0
5B03NP00010,Caprock Project,Amador,5S,2015-06-01,1,0.0,0.0,0.0
1B16492CHUM,Tyler Meenan,Humboldt,1,2018-05-01,1,0.0,0.0,0.0
1B161038CHUM,EMC,Humboldt,1,2018-05-01,1,0.0,0.0,0.0
4A560106003,Camrosa Water Reclamation Facility,Ventura,4,2004-01-01,1,0.0,0.0,0.0
4A561036001,Mobile Home Estates,Los Angeles,4,1999-05-01,1,0.0,0.0,0.0
5D152072001,DELANO Growers Grape Products,Kern,5F,1999-07-01,1,0.0,0.0,0.0
4B192140001,"Praxair, Wilmington",Los Angeles,4,2003-09-01,1,0.0,0.0,0.0
8 332303001,Temescal Creek Outfall,Riverside,8,2006-12-01,1,21000.0,10500.0,0.0
6A189009N69,"Jeffers, Jerry L. & Suzanne C.",Lassen,6A,1997-01-01,1,0.0,0.0,0.0
2 438501003,"Tower II, Phase II",Santa Clara,2,2014-06-01,1,36000.0,36000.0,0.0
5B50NC00300,T & L Family Dairy LLC,Stanislaus,5S,2011-06-01,1,0.0,0.0,0.0
5A450301002,Redding Class III Landfill Benton,Shasta,5R,1988-11-01,1,0.0,0.0,0.0
5D153225014,"Semitropic, Supreme",Kern,5F,2000-01-01,1,0.0,0.0,0.0
9 000000163,"Plant #03, Chappo",San Diego,9,1989-01-01,1,0.0,0.0,0.0
4B196400066,Industrial Gas Manufacturing Facility,Los Angeles,4,2014-03-01,1,3000.0,3000.0,0.0
5A480300001,"Recology Hay Road:Class II Landfill/Waste Pile/Land Treatment Unit, Class III LF",Solano,5S,2000-03-01,1,0.0,0.0,0.0
2 071051005,"Phillips 66 (formerly ConocoPhillips) San Francisco Refinery, Rodeo",Contra Costa,2,2008-04-01,1,0.0,0.0,0.0
4A560106003,Camrosa Water Reclamation Facility,Ventura,4,2013-07-01,1,0.0,0.0,0.0
5D153225014,"Semitropic, Supreme",Kern,5F,2001-10-01,1,0.0,0.0,0.0
6A189009N46,"Drennan, James H. Etal",Lassen,6A,1996-11-01,1,0.0,0.0,0.0
4A191142001,Drainage Benefit Assessment Areas 6 &18,Los Angeles,4,2008-09-01,1,816000.0,399000.0,0.0
7A331032011,Palmdale Estates,Riverside,7,2006-08-01,1,0.0,0.0,0.0
9 000000088,SONGS Unit 3,San Diego,9,2013-12-01,1,0.0,0.0,0.0
5B50NC00242,Lucio Corral Cattle,Stanislaus,5S,2017-12-01,1,0.0,0.0,0.0
5D150108001,Lamont WWTF,Kern,5F,2005-01-01,1,0.0,0.0,0.0
2 071042001,Martinez Refining Company WWTP,Contra Costa,2,1994-01-01,1,0.0,0.0,0.0
5A060104001,Princeton WWTP,Colusa,5S,2015-04-01,1,0.0,0.0,0.0
9 000000929,Carlsbad WRF,San Diego,9,2012-05-01,1,0.0,0.0,0.0
9 000000163,"Plant #03, Chappo",San Diego,9,2000-07-01,1,0.0,0.0,0.0
2 071042001,Martinez Refining Company WWTP,Contra Costa,2,2013-05-01,1,15000.0,15000.0,0.0
6A181554001,Susanville Sanitary District WWTP,Lassen,6A,2011-11-01,2,0.0,0.0,0.0
5A480300001,"Recology Hay Road:Class II Landfill/Waste Pile/Land Treatment Unit, Class III LF",Solano,5S,2016-04-01,1,0.0,0.0,0.0
5A480300001,"Recology Hay Road:Class II Landfill/Waste Pile/Land Treatment Unit, Class III LF",Solano,5S,2016-06-01,1,0.0,0.0,0.0
5B090102005,El Dorado Hills WWTP,El Dorado,5S,2011-08-01,1,0.0,0.0,0.0
5B090102005,El Dorado Hills WWTP,El Dorado,5S,2015-08-01,1,0.0,0.0,0.0
4A566700013,River Street Property,Ventura,4,2000-09-01,1,0.0,0.0,0.0
